dav,swa
Awo wisowagha ndewichaliwika.,Fukara hawatasahauliwa.
Kukaia na irumirio na Bwana.,Kumtumainia Mungu.
Wuwiwi ghwa mdamu.,Uovu wa watu.
Mkelu wadaghamba ngolonyi kwake.,Mpumbavu hujisemea moyoni.
Ela wose weelaghaya.,Lakini wote wamekosa.
Wichakaiya na kiture kibaa.,Watashikwa na hofu kubwa.
Ilombi jha mundu usekosere.,Sala ya mtu mwema.
Ndewina wughoma.,Hawana huruma yoyote.
Nadakunugha toe kwa loli.,Nimefuata njia yako daima.
Weeka wikunde kunirashua.,Wako tayari kunirarua.
Lumbo lwa wusimi.,Utenzi wa ushindi.
Midegho ya kufwa.,Mitego ya kifo.
Ngawifashafasha vangu wana wiko na tabia isafwane.,Niliwatwanga vibko watoto watundu.
Mlungu oko moyo.,Mwenyezi Mungu yu hai.
Wubaa ghwa Mlungu kwa nyamandu.,Utukufu wa Mungu kwa Viumbe.
Sharia ya Bwana.,Sheria ya Mujgu.
Mlisha wapo.,Mchungaji wangu.
Mzuri Mbaa.,Mfalme Mkuu.
Lwaka la Bwana andenyi ya kiremba.,Sauti ya Bwana katika dhoruba.
Chumu ra modo.,Miale ya moto.
Kuhea na kufuilwa wughoma.,Toba na msamaha.
Kitabu cha pili.,Chuo cha Kawi.
Mbori raawuya vindo vapo.,Machozi yamekuwa chakula changu.
Wanifasha na madukano.,Nimepondwa na matukano.
Mlungu okanye nesi.,Mungu yu upande wetu.
Wukelu ghokusaghika na mali.,Upumbavu wa kutegemea mali.
Nido kwako.,Nipeleke kwako.
Wutasi ghwa loli.,Ibada ya kweli.
Nyonyi rose ra mbeonyi nariichi.,Ndege wote wa mwituni nawajua.
Sikukemiagha sena.,Sitakulilia kamwe.
Ngera nedezughwa.,Kama ningeona njaa.
Sine haja na njau.,Sina haja na fahali.
Kwadamdeda mwanyinyu.,Wamsengenya nduguyo.
Naobua nandighi.,Nimeogopa sana.
Kunoneka koko aghadi.,Uharibifu umeenea.
Nidambishe pinana.,Nisafirishe salama.
Ni oho mngara wapo.,Ni wewe mwenzangu.
Wajinona ilaghano.,Amevunja mapatano.
Nighilipa maghema ghapo.,Nazitekeleza ahadi zangu.
Matuku ghose.,Kila Siku.
Bea ekaia andwamweri.,Hamu ya kuwa pamoja.
Mkonu ghwako ghonimazira.,Mkono wako wanitegemeza.
Ndoe yafunya mavalo ghake.,Nchi imetoa mazao yake.
Mbeo yabia linu.,Baridi imezidi leo.
Ibonyeka karakara na mipango.,Itafanyika kama ilivyopangwa.
Bonya ilombi jekulindia na iriso.,Omba dua dhidi ya kijicho.
Wulalo wininekie.,Fursa waliyonipa.
Wandu weka na wuya mzima mzima.,Watu hawafanani kimaarifa.
Wadia kilambo kizima.,Shikilia kitu kingine.
Motoka kufuma naighu.,Poromoka toka juu.
Wawekimbiria mbaghonyi.,Wanakimbilia porini.
Chungua kwa kuzighana.,Chunguza kwa kuangalia.
Bahari ndeiruwukwaa kwa kuvululia machi.,Bahari haivukwi kwa kuogelea.
Ngelo yake ndeibusire.,Wakati wake haujawadia.
Momu ghoandikwa chuonyi.,Ujumbe uliandikwa kwenye daftari.
Inja machu ghako.,Toa hasira zako.
Kilole cha mtorori.,Kioo cha gari.
Matiriro gha ngolonyi.,Mateso ya moyoni.
Shekeria.,Sababisha jambo.
Midi riseko hata kiju ndechikaa.,Bila miti hakuna kivuli.
Aghia irughudia.,Pangusa jasho.
Owilegha waghenyi wawongeri.,Aliwaepuka marafiki walevi.
Chia iwi ralemie mbisi.,Njia mbili zilimshinda fisi.
Niamba nimilo ni machi.,Maji yamenifika shingo.
Narumaghia masholio kwa wundu ghwako.,Nimefedheheshwa kwa ajili yako.
Awo wedenimenya.,Wao walinidharau.
Nasirilwa ni isuwirio.,Nimekata tamaa.
Wawongeri wawenibora.,Walevi wanatunga nyimbo juu yangu.
Kunitumbulie shwaa.,Unijibu upesi.
Soghoda kavui na ini,Kuja karibu na mimi.
Kusughuse mighongo yawo.,Tetemesha migongo yao.
Kukulindie na kaung'a.,Jilinde usitende dhambi.
Kufuchua hekalu.,Kubomoa hekalu.
Nakundaa wuki.,Napenda asali.
Choo nikuneke vindo.,Njoo nikupe chakula.
Ukaleka kudikunda.,Kaacha kutupenda.
Kikulughulu chawecha.,Kimbunga kinakuja.
Weremtimieghe kidali.,Walimjaribu kwa makusudi.
Chawucha kwa wundu ghwako ghwa wughoma.,Shukurani kwa ajili ya huruma.
Mawonyero aighu ya tee.,Maonyo kuhusu uongo.
Watesia wa ikanisenyi.,Wasaidizi katika kanisa.
Ngasu mbaa.,Siri kubwa.
Malagho ghekumba ngolo,Maneno ya kutia moyo.
Matuku gha kutua.,Siku za mwisho.
Mafundisho gha kutua.,Maagizo ya mwisho.
Mzenyu ndeiwenya.,Kwenu hakunyeshi.
Da dibonyaa wada.,Sasa tutafanyaje.
Msinde mana.,Mshinde poa.
Naweenda cha shighadi kulola chaghu.,Naenda ng'ambo kusaka kazi.
Njumwa iwi richaa.,Wiki mbili zijazo.
Ni loli.,Ni kweli.
Kusekambo ni chongo.,Usiwe wasiwasi.
Mwatulituli warima.,Simu imezima.
Dende mbuwenyi.,Twende shambani.
Ntimaa seji nidimaa.,Najaribu niwezavyo.
Mbari zima.,Mataifa mengine.
Neremkemieghe worinyi.,Nilimpinga waziwazi.
Wodeka na makosa.,Alikuwa amekosa.
Wikadilomba ilagho jimweri.,Wakatuomba kitu kimoja.
Isi si wandu wa kaung'a.,Sisi si watu wa dhambi
Hata idana nko moyo ela sio ini.,Na sasa naishi ila sio mimi.
Seji niko mkosi.,Jinsi nilivyo mhalifu.
Shashira mwanedu.,Harakisha ndugu yangu.
Irumirio na sharia.,Imani na sheria.
Weni mwana mkelie inyo.,Enyi akina fulani wapumbavu.
Sharia na ilaghiro.,Sheria na ahadi.
Shekeria ya sharia.,Madhumuni ya sheria.
Sharia ndeikusaghikagha na irumirio.,Sheria haitegemei imani.
Ndewado ni njowe.,Yeyote amelaaniwa.
Kula mundu unyonyorelo mudinyi.,Aliyetundikwa msalabani.
Imbiri irumirio jisechee.,Kabla ya kujaliwa imani.
Derekoghe dafungwa aisi ya sharia.,Sheria ilitufanya watumwa.
Dikiweseria ngelo ya kufunukulwa kwa irumirio.,Tukingoja imani hiyo ifunuliwe.
Kukakaia mwana wa Abrahamu.,Mkiwa wazawa wa abrahamu.
Kuchapata ifwa karakara na ilaghiro.,Utapokea aliyoyaahidi.
Walindiri na wazighani.,Walezi na wadhamini.
Ghuwikilo ni ndee.,Uliowekwa na babake.
Agha malagho nimuandikiagha.,Haya ninawaandikieni.
Siweghora tee anduangi.,Sisemi uongo hapa.
Konyuma nereghendieghe.,Baadaye nilikwenda.
Wandu wa makanisa gha Kristo ndewerekoghe waniwona.,Sikujulikana kwa jumuiya.
Wichamanya ichi wichisikiragha chieka.,Walichojua ni kile walichosikia tu.
Orenisaghueghe imbiri nisevalo.,Alikuwa ameniteua hata kabla hajazaliwa.
Ukaniwanga kwa mvono ghwake.,Akaniita nimtumikie.
Hata niseendajoka Dawida huwu.,Kabla sijapanda taita.
Niko nyuma ya miaka midadu ngajoka.,Nikajapanda huko miaka mitatu baadaye.
Seremmbonieghe mdumi ungi mzima.,Sikuwaona mitume wengine wowote.
Paulo na waja wadumi wazima.,Paulo na mitume wengine.
Nyuma ya miaka inya.,Baada ya miaka minne.
Samweli ukamkemia Maria.,Samweli akamlilia Maria.
Odeka na waruna wa tee.,Alikuwa na ndugu wa uongo.
Wulalo ghwaro.,Badala yake.
Werewonieghe nedumwa.,Walitambua nimetumwa.
Disewiliwe wakiwa.,Tuwakumbuke masikini.
Igho jha mbembenyi,Jiwe la pembeni.
Inyo mwaweghora wada?,Nyinyi mnasemaje?
Ola sikirenyi.,Basi sikilizeni.
Isuwirio jichagha.,Tumaini siku za usoni.
Awo wikosagha wichapata kumanya.,Waliopotoka watapata maarifa.
Maghaluso mabaa.,Marekebisho makubwa.
Siichi kushoma.,Sijui kusoma.
Wana kudinekie.,Watoto uliotujalia.
Awa wikuserie wichapata maboilo.,Wanyofu watapata furaha.
Yasighwa ngelo vui.,Bado kidogo tu.
Wandu wisesikiragha.,Watu wasiotii.
Kwamenya malagho ghapo.,Umepuuza mambo yangu.
Mawiwi agho.,Maovu yao.
Mchakuwida viro.,Mtavuna chakula.
Mmburienyi Mlungu.,Mrudieni Mungu.
Mzuri hachi.,Mfalme wa haki.
Waka wawo.,Wake wao.
Nyumba ya magho.,Nyumba ya mawe.
Ngelo ndicha ichaagha.,Wakati mzuri ujao.
Ndomuwiwonagha sena.,Hutawaona tena.
Mbaa sena shapa.,Kubwa tena pana.
Widedagha kiteto chisetambukagha.,Wanaoongea lugha iyotambulika.
Wuwiwi ghwawo ghose.,Maovu yao yote.
Obonya mwano.,Alifanya mpaka.
Lolenyi andenyi.,Tafuteni ndani.
Chia ielie.,Njia safi.
Isanga jiomie.,Nchi kavu.
"Kiture, vina na midegho.","Woga, mashimo na mitegi."
Neko na mghenyi.,Niko na rafiki.
Ituku ijo.,Siku hiyo.
Wwada kinubi chako.,Twaa kinubi chako.
Mlungu uchakaba ndoenyi.,Mungu kupiga dunia.
Ndoenyi yachikanywachikanywa.,Ulimwengu umevunjwavunjwa.
Yawuya sughuswa nandighi.,Dunia inatikiswatikiswa.
Muzi ghononwa.,Mji ni magofu.
Mbenge rake rachikanya.,Milango yake imevunjika.
Wurumwengu ghwawemichwamichwa.,Dunia inayumbayumba.
Sa mwongeri.,Kama mlevi.
Saa muka uko na kifu.,Kama mama moja mzito.
Midi yaro ikaoma.,Miti yenyewe ilikauka.
Ngelo iyo.,Wakati huo.
Ijo ituku.,Siku hiyo.
Ukafufunuka ndokumwadaa.,Akiponyoka humshiki.
Magome ghiao.,Pesa ziko wapi.
Naweoghosha vilambo.,Naosha vyombo.
Nakunde nikulowuo.,Natamani nikuoe.
Odaika chofi yose.,Alitapika pombe yote.
Udapoilwa ni kumbaku.,Anapenda tumbaku.
Wesigha kazi yeshona.,Waliacha kazi ya kushona.
Wana wilowuo.,Watoto waoe.
Ni bugha.,Ole wao.
Awo wiko na wwana ghonywa chofi.,Mabingwa wa kunywa divei.
Ndewisilwagha hata ndewikuwagha.,Hawachoki wala hawajikwai.
Ndewidungumiagha hata ndewilalagha.,Hawasinzii wala hawalali.
Mawanu ghawo ghikalie.,Mishale yao mikali.
Ndana rawo rafungilo.,Pinde zao zimevutwa tayari.
Kochokocho ra mburi.,Kwato za mbuzi.
Leka winiloghe.,Afadhaliwanirge.
Wakumbwa vighowa.,Amepigwa pingu.
Wagafilika putu,Amepigwa na butwaa kabisa.
Suti kusime.,Lazima ushinde.
Mashano ni mwisho ghwa mori.,Mshahara ni mwisho wa mwezi.
Dikasoghoda mboaeri.,Tulisonga aste aste.
Ugho ni wukelu.,Huo ni ujinga.
Mae ni msawi.,Mamake ni mchawi.
Mapemba ghawurwa.,Mahindi yameiva.
Mwanwako ndene akili.,Mwanao Hana akili.
Kwaki kuwuyaa nanyuma.,Mbona warudi nyuma.
Mavuda ndeghipoie.,Mafuta ni mabaya.
Mka oko na kwawo.,Mke ana kwao.
Muzi ghughokie.,Mji mzuri.
Huwu walowue?,Hivi wameoa.
Mwana wa ititi.,Mwana wa pekee.
Manga wa kiju.,Mhogo wa kivuli.
Mumi wake ndezereloghe.,Bwanake hakuambia.
Oka na skulu yake.,Ana shule yake.
Kipulupulu cha chokwa.,Mrembo mweupe.
Oremkieghe shuu.,Alikawia sana.
Mnyango ghwachika.,Mlango umevunjika.
Machi ghadika.,Maji yamemwagika.
Msaghu ni mnoni.,Mchwa ni mharibifu.
Nekunda kukia.,Nataka kuokoka.
Chofi ra wa ghosi.,Pombe ya wazee.
Chuilwa mada.,Temewa mate.
Modo ghwadumbulwa.,Stima imekatwa.
Disecheghisowa malagho agho.,Tusije tukayakosa mambo hayo.
Dambona Jesu.,Tumemuona yesu.
Gherekoghe gha loli.,Yalikuwa ya kweli.
Sabuni ya mfu yadaelesha.,Sabuni ya unga husafisha.
Wana wa ndee umweri.,Watoto wa baba mmoja.
Ufwananisho na waruna.,Afananishwe na nduguze.
Kuhora kwa wana wa Mlungu.,Pumziko kwa wanaonichukia wa Mungu.
Jesu ni mbaa.,Yesu ni mkuu.
Msakeghada sa wana wa noko.,Msiwe wavivu kama watoto wa huko.
Deko na isuwirio.,Tunalo tumaini.
Kukorwa ni modo.,Kuchomwa na moto.
Muzi ghuchue kaung'a.,Mji uliojaa dhambi.
Nichaghughorua mkono.,Nitaunyosha mkono.
Wichaasagha matuku ghawo ghikevika.,Wataangamia siku zao zikifika.
Kumuoghosha sa chuma.,Kumwosha kama chuma.
Sisia ra modo.,Cheche za moto.
Sere yake idadua kwa kala na kala.,Amani yake ni ya kudumu mikele.
Iji wawonyera lubando uchaainjwa.,Iwapo ataonyesha kiburi ataondolewa.
Mbari yawo eelegha maghaluso.,Kabila lake lilipinga mabadiliko.
Ilagho ijo jingi ndejichaa.,Jambo hilo hilo halitafaulu.
Lomba na kufunge tumu kuneko alama.,Omba na ufunge utapewa ishara.
Waka weka na ghawo.,Wanawake wako na yao.
Ukajikoja isu jake.,Alichoka na wazimu wake.
Oreniwangieghe eri nimtesie kudeka.,Aliniita ili nikamsaidie kupika.
Kio ichi chose kuendaa hao?,Usiku huu wote waenda hadi wapi?
Ghaghisigha ghose gha kala.,Niliyawacha yote ya nyuma.
Oka na tabia izamie.,Ako na tabia mbaya.
Orekelemieghe uko mkoo.,Alipata ulemavu akiwa mchanga.
Waghenyi wikamredia marumba mecha.,Wageni walimletea manukato mazuri.
Ngalemwa kuwimanaya awa wandu.,Sikuweza kuwajua watu hawa.
Kesho kupatika saa ilinga.,Kesho utakuwa huru saa ngapi.
Ukakakongoma kumanye wawuya mkongo.,Ukimuona atetema jua321:A485a ni mgonjwa.
Ndeekoghe chia ingi zima ela kulala isakenyi.,Hakuwa na budi ila kulala porini.
Nee ing'oni jha Jesu.,Mimi ni shujaa wa Yesu.
Wikazoya kuzoghelwa ni nyamandu ra isakenyi.,Wakaanza kuvamiwa na wanyamapori.
Ghenda kuniloghe sena ela sawefwa kungi.,Kaniroge tena ila sifi.
Awo wikunde kukumeria wichafushwa waya.,Wanaotaka kukumaliza watapata aibu.
Choo dilowuane dikanye.,Kuja tuoane tuishi wote.
Olumwa kughu ni koshi.,Aling'atwa na mbwa mguuni.
Womi moko na ndighi.,Waume mko na nguvu.
Huwu ni loli walowolo.,Ati ni ukweli kaolewa.
Nawekughesha ngelo yose.,Nakuwaza kila saa.
Kwafane kukaie na mtorori.,Unafaa uwe na gari.
Kukakunda wuloli kotia wana,Ukitaka ukweli uliza watoto.
Ola kurighore maza iri.,Basi yaseme mambo haya.
Dakuvoya kuwishashire na kuwikanie.,Twakuomba uwahimize na kuwaonya.
Mundu ungi ujha usekumenye.,Mtu yeyote yule asikudharau.
Agha ni mafundisho gha kutua.,Haya ni mawaidha ya mwisho.
Ukelegha mafundisho nidamwunja mzawo.,Akikataa mafunzo namrudisha nyumbani kwao.
Mkake ni sa ngolo yake cheni.,Mke wake ni kama roho yake mwenyewe.
Iji wakakosera kwa ilagho jingi.,Iwapo amekukosea kwa lolote.
Kukaniwona kunilawie sile yako.,Ukiniona nidai deni lako.
Wawibonya malaika wake wiwuye mbeo.,Amewafanya malaika wake kuwa upepo.
Wawibonya wadumiki wake chumi ra modo.,Amewafanya wahudumu wake kuwa kama ndimi za moto.
Kifumbi chake cha nguma.,Kiti chake cha enzi.
Chidua kala na kala.,Kitadumu milele na milele.
Wereleloghe ni kungia kwa kusowa irumirio.,Hawakuingia kwa kukosa imani.
Mariwa ni gha wabonjo.,Maziwa ni ya watoto wadogo.
Vindo vikurie ni va wandu wabaa.,Chakula kigumu ni cha watu wazima.
Ngelo yeghala ni omoni okirieghe.,Wakati tukienda ni yeye alitutangulia.
Ighemi jadameria nganyi rose.,Kiapo husuluhisha ubishi wote.
Okoo muichi kufuma ko imbiri.,Tangu awali amekua mdhamini.
Kimu isi kuditime nesi.,Msimu huu utujaribu na sisi.
Hata kutua kwa matuku ikenda.,Baada ya siku tisa kuisha.
Mlodi mbaa ukasigharika ngomenyi kwa mzuri.,Nabii mkuu akabaki ikulu.
Ndokuchee mundu kungi nyuma yake.,Hakuna aliyekuja baada yake.
Mumi wake omredia zahabu ieleshero.,Mume wake alimletea dhahabu safi.
Mwana uchevalwa woderedelwa zawadi.,Mtoto alipozaliwa aliletewa zawadi.
Dua moyo oho mzuri odu.,Uishi milele ewe mfalme wetu.
Ukakumbwa kwa iwiwi jha modo.,Akatiwa kwenye tanuru la moto.
Nyamandu inya mbaa risefwanane.,Wanyama wakubwa wanne tofauti.
Ujha mghosi ukakuduka loliloli.,Yule mzee akajikweza sana.
Lwembe lwake lumweri lochika.,Upembe wake mmoja ulivunjika.
Ukacha kavui na andu nerekoghe kimusi.,Kaja karibu nia nilikosimama.
Nichaamumanyisha iro maza.,Nitawafundisheni kuhusu mambo hayo.
Odeghora ni suti ughughushe wurigha.,Alisema lazima atauangusha ukuta.
Mdamu na nyamandu udawuya terinyi ukefwa.,Binadamu na wanyama wote hurudi mavumbini afapo.
Mdawana mbaha ukalila mbori.,Kijana mkubwa akalia machozi.
Ituku ijo jiwuye kira.,Siku hiyo iwe giza.
Ofwa wendavalwa.,Alikufa mara tu alipozaliwa.
Mundu ukundaa kufwa.,Mtu ambaye anatamani kifo.
Ija niyo mali ivisiro.,Ile ndiyo hazina iliyofichika.
Waboilwa shuu kungia kaburinyi.,Atafurahia sana atakapokufa na kuzikwa.
Ikisikirika sa machi ghidikagha.,Inasikika mithili ya maji yatiririkayo.
Ela tanu kwameria kuchelwa ni malagho.,Lakini sasa yamekwisha kukuta.
Ghakupata na oho kukafwa ngolo.,Yamekugusa nawe ukafadhaika moyoni.
"Kusakeobua, wadima kukaia moyo.","Usihofu,inawezekana akawa hai."
Luma lwa nakesho ukawuka na kulomba.,Asubuhi aliamka akasali.
Kipepe chabwaghaa mkelu.,Mahangaiko humuua mtu mpumbavu.
Iriso jabwaghaa mundu mkelu.,Wivu humwangamiza aliye mjinga.
Awa wiwae widima kupata.,Waliolima wana matumaini ya kuvuna.
Deekunda dinyamirishe wuwiwi.,Tunataka kukomesha udhalimu kabisa.
Ukashoghonua ufunga.,Huumiza na pia kuuguza.
Ukakaba waboisa.,Hujeruhi na pia kuponya.
Ngera luwawo lwadapimwa ratilinyi.,Mahangaiko yangepimwa kwa mizani.
Madedo ghapo gha kisha kisha.,Matamshi yangu ya kuropoka.
Nifundenyi na ni nichasikira.,Nawasihi mnifundishe nami ntanyamaza.
Niwonyerenyi andu nikosere.,Nielewesheni ni jinsi gani nilivyokosa.
Mdamu oko na wundu miki ghukurie shuu.,Maisha ya binadamu ya ugumu sana.
Sa mzumba seji ulolagha kiju.,Kama mtumwa atamaniye kivuli.
Nasowie dilo kufuma icho.,Angu juzi sijapata uzingizi.
Mae udawizighana kula na kesho.,Mamake huwachunguza kila asubuhi.
Uo wadawichana na kiremba.,Yeye huwaponda kwa dhoruba.
Hata ngera siwadie ikosa.,Hata ingawaje sina hatia.
Nadima nifungo ni madedo ghapo.,Naweza nikafungwa kwa maneno yangu yangu.
Ini aha nakoja kukaia moyo.,Mimi hapa nimechoka kuishi.
Oka na maghare ghisene mtalo.,Ana magari yasiyohesabika.
Isanga jawo ni jesirimika.,Nchi yao ni ya huzuni.
Olua fii sa kira.,Ni mweusi kama giza.
Eri nihore kutineri.,Ili nipate faraja kidogo.
Naweja agha nighiwonie.,Ninayoyasema nimeyaona kwa macho.
Mkapo wapo woghenda kwa nde.,Bibi yangu alianda kwa babake.
Wubaa ghwake ghuchamuobosha.,Fahari aliyo nayo itawatisha.
Kwavolwa kusighe kukaba mmbenyu.,Umeombwa uwache kupiga mwenzako.
Naweja gha loli ghieka.,Ambayo ninayoyasema ni ukweli tu.
Aho niko kuchaadima kutala.,Hapo ndipo utaweza kuhesabu.
Wulalo ghosikira chughano.,Nafasi ya kusikiza hadithi.
Awo wose ni wawiwi.,Hao wote ni watu wabaya.
Suti kunyamira malagho ghawo.,Lazima kukomesha maneno yao.
Agha nigho mafundisho gha loli.,Hayo ndiyo mafundisho ya kweli.
Uo ni uo uchaaghusha wurigha.,Yeye ndiye atakayeuangusha ukuta.
Diwose diwuya andonyi terinyi.,Sote tutarudisha chini mavumbini.
Kwa chia ya kutanya kwako.,Katika njia yako ya maamuzi.
Mwana mtini ukalila mbori.,Mtoto mdogo akalia machozi.
Wendammbona mbaha ukawuka kimusi.,Alipomuona mkubwa akasimama wima.
Nawekotia wiao wazuri.,Nauliza wako wapi wafalme.
Oho kwameria kusikia maza ripoie.,Wewe umeshasikia habari njema.
Kwa agho ghose kubonyere.,Kwa yale yote uliyotenda.
Awo wose wiko moyo.,Wale wote walio hai.
Vololo rose richaachurwa.,Kila bonde litasawazishwa.
Dawekulomba kuwihoreshe wandu wako.,Twakuomba uwafariji watu wako.
Mdi ghukademwa malemba ghadaoma.,Mti ukikatwa majani hukauka.
Uo niwo uwiseragha wabaa.,Yeye ndiye huwaporomosha wakuu.
Kukaghiwusira meso ghako naighu.,Ukiyainua macho yako juu.
Nawo wichapata ndighi mbishi.,Nao watapata nguvu mpya.
Wichaburuka ighu sa indu.,Watapanda juu kama tai.
Wichaakimbia nawo ndewichaasilwa.,Nao watakimbia bila kuchoka.
Wichaaghenda kuseko na kudumbuka.,Pia wataweza kutembea bila kulegea.
Kuwilolagha ela ndokuchaa wiwona.,Utawatafuta ila hawatawaona.
Awo wose wilwagha na oho.,Wale wote wanaopigana nawe.
Wikaka wiseghalukie witotagha.,Kama hawatarekebika watakuwa wameangamia.
Imbiri yake ndomko kilambo chingi.,Mbele yake nyinyi si kitu.
Ujha wawemtasa ni mchafu.,Yule wanayemwabudu ni chukizo.
Wele nani orelodieghe maza iro?,Nani ambaye aliyabashiri maneno haya.
Hata ndokuchaasikira lwaka lwake chienyi.,Wala hutasikia jina lake njiani.
Mrangi ghufashikie ndokuchaachikanywa.,Ule mwanzi uliochubuka hautavunjwa.
Uo na wana wake wenona ndoria.,Yeye na wanawe waliharibu chemichemi.
Vua endaenda malemba gheoma.,Mvua ilipokatika nyasi ilikauka.
Madini gha zoghori mbaa.,Madini yenye thamani kubwa.
Kaung'a ya kenya imezidi.,Dhambi ya Kenya imezidi.
"Kwaki mwanedu, kwaweobua?","Mbona ndugu umekubali, waogopa."
Isanga jawo wesaghua kilongozi mng'eti.,Nchi yao walichagua kiongozi katili.
Okunda uredelo maghi gha makalai.,Anataka aletewe mayai ya mende.
Wukelu ghotasa milimu.,Upumbavu wa kuabudu sanamu.
Ndee ni mchani chuma.,Baba yake ni mfua chuma.
Mwana ukakotia wavi wake wamvae waki.,Mtoto aliuliza wazazi wake kwa nini walimzaa.
Awo wepoisa milimu.,Wale wenye kutengeneza sanamu.
Malagho agha sereghighorieghe kivisonyi.,Maneno haya sikuyasema kifichoni.
Wichaasima na kupata wubaa.,Watashinda na kupata utukufu.
Kughwa kwa babuloni.,Kuanguka chini kwa Babiloni.
Kwasirishwa ndighi ni wanjama wako.,Umechoshwa na washauri wako.
Idana soghodenyi sena kaavui.,Sasa songeeni tena karibu.
Ofwa udikire kaung'a redu.,Alikufa kwa sababu ya dhambi zetu.
Cheko kilambo nikuzeragha dikekwana.,Kuna kitu nitakuambia tukikutana.
Neishi ngimanya wai wengi wefumiria kisumu.,Nimeishi nikijua wanawake wengi hutokea Kisumu.
Nawelola mtesia wa nyumbenyi.,Natafuta msaidizi wa nyumbani.
Ni nicha mwanikabia niselale.,Afadhali umenipigia kabla nilale.
Okoo mundu was kaavui wa mwanedu.,Alikuwa mtu wa karibu wa ndugu.
Nakuneka wuloli ghose.,Mimi nimekupa ukweli wote.
Wandu weka na kiwiwi na isi.,Watu wana ubaya na mimi.
Ndedidimaa kuchuria useme rule.,Hatuwezi kuongezea kama hajamaliza.
Orenikabieghe icho nakenyi.,Alinipigia simu juzi usiku.
Ngolo ra wadamu rakucha ngonde.,Mioyo ya wanadamu imekunja ngumi.
Vadu vapo vakatambuka.,Viatu zangu zimeanza kufumuka.
Sisikire ela ngasikira nikuzeragha.,Sijasikia ila nikisikia nitakuambia.
Kufuma itanaa niwikaghagha malagho worinyi.,Kuanzia sasa ntakuwa wazi.
Ndokukundikie kuobuo kuko nani.,Hufai kuogopa ukiwa nami.
Ihehe jake jawiimie wazima malazi.,Tamaa yake iliwakosesha wengine mengi.
Tanu niko nakavika kwa mao.,Sai ndio naelekea kufika kwa mama.
Nedelemwa kumtumbulia momu ghwake.,Sikuweza kujibu ujumbe wake.
Mlale mana mmbose.,Nawatakia nyote usiku mwema.
Wana wiko na njala.,Watoto walio na njaa.
Vua esindanya dii.,Mvua ilinyesha mchana kutwa.
Mseliwe waka wakiwa.,Wamama wajane wanafaa kukumbukwa.
Kumanye nekulisa oho kueka.,Unajua nimekuzoea wewe tu.
Ihi niyo ngelo ipoie kuchumba kwake.,Hu ndio muda mwafaka kwake.
Odefwa ngolo yelowolwa.,Alikata tamaa ya kupata bwana.
Nawekulombia mecha maduu.,Nakutakia kila la kheri.
Neka kula umweri maghana ghake masanu.,Wapee wote mia tano tano.
Nawemghesha angelos yose.,Saa zote yumo akilini.
Nikaka nisewewoneka manyenyi naviswa.,Mkiona sionekani jueni nimefichwa.
Kukaia na oho ni kuboilwa kueka.,Maisha na wewe ni furaha tele.
Ndechiko chonyi kiwishi ndoenyi.,Hakuna kipya kwenye dunia.
Nekunda idime diwinyorore ngolo.,Nataka leo tuwakere roho.
Waghorie wei i kuchanisigha.,Walisema utakuja kuniwacha.
Wikaninugha nidakimbiria kwako.,Wakinifuata nakimbia hadi kwako.
Toe nadakuwona mwishi.,Kila siku namuona mpya.
Chawucha bwana kwa mkati na kikombe.,Ahsante Bwana kwa mkate na kikombe.
